Unnamed: 0,SizeRank,RegionName,StateName,State,City,Metro,CountyName,Percent Change,ZHVF 1-Year Forecast (%),Mean Income,luxury_business_count
1056,1113,60126,IL,IL,Elmhurst,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,3.2459907281388034,2.1,65433.81818181818,0
1057,1114,11237,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.661258745038635,0.2,66606.09090909091,0
1058,1115,78541,TX,TX,Edinburg,"McAllen-Edinburg-Mission, TX",Hidalgo County,5.780517188717572,6.2,36276.454545454544,0
1059,1116,94553,CA,CA,Martinez,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,-0.9904820688429268,0.4,77010.45454545454,0
1060,1117,97401,OR,OR,Eugene,"Eugene-Springfield, OR",Lane County,0.9269258424565018,4.2,34723.454545454544,0
1061,1118,98034,WA,WA,Kirkland,"Seattle-Tacoma-Bellevue, WA",King County,-1.135874305933997,4.1,74778.72727272728,0
1062,1119,23185,VA,VA,Williamsburg,"Virginia Beach-Norfolk-Newport News, VA-NC",Williamsburg City,12.15387103154441,3.0,63050.72727272727,0
1063,1120,49423,MI,MI,Holland,"Holland, MI",Allegan County,5.4178808707773225,3.7,43317.0,0
1064,1121,60644,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,0.8537612573569119,1.6,26316.272727272728,0
1065,1122,32835,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,-1.6989070743603216,4.6,51065.09090909091,0
1066,1123,19464,PA,PA,Pottstown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,9.170388591189456,4.4,42884.545454545456,6
1067,1124,33126,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,8.445052406367193,5.0,32325.090909090908,0
1068,1125,73505,OK,OK,Lawton,"Lawton, OK",Comanche County,3.648527750794596,2.9,47964.90909090909,0
1070,1127,60637,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,3.5420814241146616,2.0,40132.90909090909,0
1071,1128,53704,WI,WI,Madison,"Madison, WI",Dane County,10.492880685289943,2.6,50508.63636363636,0
1072,1129,47130,IN,IN,Jeffersonville,"Louisville/Jefferson County, KY-IN",Clark County,9.223086365258066,3.4,44389.81818181818,0
1073,1130,30907,GA,GA,Martinez,"Augusta-Richmond County, GA-SC",Columbia County,3.4259801072727685,4.7,52100.454545454544,0
1075,1131,92374,CA,CA,Redlands,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2.05955073230429,4.6,55751.72727272727,0
1076,1133,30228,GA,GA,Hampton,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,5.947004786470583,5.1,47510.181818181816,0
1079,1136,95060,CA,CA,Santa Cruz,"Santa Cruz-Watsonville, CA",Santa Cruz County,6.665025206667259,2.6,63962.0,0
1080,1136,33610,FL,FL,East Lake-Orient Park,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,2.0649252218531493,6.4,31564.545454545456,3
1081,1138,18103,PA,PA,Allentown,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,5.033882872311739,4.8,43641.81818181818,0
1082,1139,95008,CA,CA,Campbell,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,0.4990773279707355,1.3,88598.09090909091,0
1083,1140,11374,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,5.453542727280791,-0.2,56971.454545454544,0
1084,1141,21218,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,4.508321178684358,2.4,44259.27272727273,0
1085,1142,33324,FL,FL,Plantation,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2.8781288711324606,5.1,60806.09090909091,0
1086,1143,92104,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.485195637082137,3.0,65725.0,0
1087,1144,97405,OR,OR,Eugene,"Eugene-Springfield, OR",Lane County,5.433662732315217,4.4,50142.545454545456,0
1089,1146,33016,FL,FL,Hialeah,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,6.473746198627987,5.0,33204.63636363636,0
1092,1150,94551,CA,CA,Livermore,"San Francisco-Oakland-Berkeley, CA",Alameda County,2.7977489257815997,1.1,80205.0,0
