,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Percent Change
6040,99561,8082,98101,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County,-3.9594769409432464
6041,67221,8084,22303,zip,VA,VA,Huntington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fairfax County,1.36299165675977
6047,58634,8109,2120,zip,MA,MA,Boston,"Boston-Cambridge-Newton, MA-NH",Suffolk County,1.4306714908991272
6049,71900,8113,32254,zip,FL,FL,Jacksonville,"Jacksonville, FL",Duval County,4.368733768878041
6051,99810,8118,98446,zip,WA,WA,Clover Creek,"Seattle-Tacoma-Bellevue, WA",Pierce County,2.513615618677083
6052,73058,8119,34239,zip,FL,FL,Sarasota,"North Port-Sarasota-Bradenton, FL",Sarasota County,1.8628713094051805
6053,66841,8127,21231,zip,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,0.19913966437671873
6056,91196,8135,76022,zip,TX,TX,Bedford,"Dallas-Fort Worth-Arlington, TX",Tarrant County,2.172599448692785
6057,67219,8136,22301,zip,VA,VA,Alexandria,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Alexandria City,7.313681715458518
6059,82285,8143,55435,zip,MN,MN,Edina,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,1.7752296325778911
6060,72771,8144,33708,zip,FL,FL,Saint Petersburg,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,3.6565668802799807
6064,58767,8153,2458,zip,MA,MA,Newton,"Boston-Cambridge-Newton, MA-NH",Middlesex County,9.582756879772752
6067,74641,8171,38103,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,-0.7715961028922863
6070,96293,8182,91105,zip,CA,CA,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,-0.169460843060573
