ZIP Code,Mean Income
1535,49944.27272727273
1536,63373.545454545456
1537,54684.36363636364
1540,42959.0
1541,71659.54545454546
1542,63629.545454545456
1543,56825.09090909091
1545,65044.09090909091
1550,40710.27272727273
1560,61285.181818181816
1562,46949.181818181816
1564,65863.09090909091
1566,66482.0
1568,66790.54545454546
1569,61638.72727272727
1570,44633.545454545456
1571,42736.63636363636
1581,72350.36363636363
1583,58715.454545454544
1585,43838.63636363636
1588,49640.36363636364
1590,76264.81818181818
1602,53215.454545454544
1603,39360.72727272727
1604,51602.09090909091
1605,42849.09090909091
1606,57412.27272727273
1607,41765.90909090909
1608,32195.363636363636
1609,46279.36363636364
1610,33704.0
1611,62445.818181818184
1612,66248.0
1701,68735.36363636363
1702,52237.0
1718,92717.5
1719,70625.72727272728
1720,69180.54545454546
1721,73515.63636363637
1730,92309.72727272728
1731,73737.6
1740,90651.63636363637
1741,97736.36363636363
1742,96128.72727272728
1745,67867.57142857143
1746,60583.27272727273
1747,55469.545454545456
1748,74416.27272727272
1749,57323.818181818184
1752,64711.36363636364
1754,65209.63636363636
1756,62800.181818181816
1757,54932.63636363636
1760,70023.81818181818
1770,98937.54545454546
1772,70453.81818181818
1773,120403.09090909091
1775,73443.0
1776,77844.18181818182
1778,83815.90909090909
1801,67328.45454545454
1803,69465.54545454546
1810,74032.09090909091
1821,75927.18181818182
1824,71338.27272727272
1826,56960.36363636364
1827,69527.36363636363
1830,47035.0
1832,57593.90909090909
1833,80084.27272727272
1834,72238.27272727272
1835,62762.545454545456
1840,28081.363636363636
1841,34015.63636363636
1843,48112.09090909091
1844,49395.0
1845,71000.18181818182
1850,40472.181818181816
1851,48608.818181818184
1852,47811.72727272727
1854,42256.63636363636
1860,55264.454545454544
1862,59603.0
1863,57446.36363636364
1864,68378.0
1867,62814.09090909091
1876,59108.181818181816
1879,62163.818181818184
1880,64843.09090909091
1886,77967.18181818182
1887,73455.27272727272
1890,84090.63636363637
1901,35460.818181818184
1902,36989.0
1904,59993.454545454544
1905,44650.0
1906,55152.545454545456
1907,67877.36363636363
1908,65342.818181818184
1913,57505.90909090909
1915,60010.181818181816
1921,111303.09090909091
1922,83952.18181818182
1923,55919.90909090909
1929,74952.81818181818
1930,53789.181818181816
1938,62662.454545454544
1940,76219.81818181818
1944,81809.0
1945,77413.27272727272
1949,97662.54545454546
1950,75739.18181818182
1951,73657.72727272728
1952,65437.90909090909
